0, 14, 38, 5
1, 49, 46, 4
2, 22, 19, 3
3, 5, 41, 1
4, 36, 30, 5
5, 26, 34, 5
6, 2, 44, 3
7, 38, 12, 5
8, 23, 19, 1
9, 28, 45, 4
10, 33, 43, 5
11, 38, 47, 4
12, 36, 5, 3
13, 28, 38, 5
14, 9, 21, 4
15, 42, 43, 5
16, 23, 42, 2
17, 41, 48, 2
18, 33, 3, 3
19, 33, 26, 2
20, 43, 18, 4
21, 39, 42, 3
22, 9, 39, 5
23, 35, 44, 1
24, 36, 26, 5
25, 11, 13, 4
26, 46, 26, 1
27, 12, 2, 5
28, 4, 25, 1
29, 45, 49, 1
30, 1, 7, 4
31, 7, 47, 4
32, 45, 39, 3
33, 43, 23, 3
34, 12, 37, 4
35, 1, 22, 4
36, 22, 21, 2
37, 17, 7, 5
38, 44, 5, 4
39, 33, 48, 4
40, 22, 38, 5
41, 2, 7, 5
42, 15, 12, 1
43, 6, 8, 2
44, 3, 42, 2
45, 8, 12, 5
46, 6, 32, 3
47, 19, 31, 5
48, 41, 33, 1
49, 12, 21, 2
50, 20, 46, 3
51, 16, 12, 3
52, 24, 29, 1
53, 41, 36, 4
54, 43, 20, 1
55, 26, 44, 2
56, 24, 10, 4
57, 33, 12, 4
58, 6, 33, 3
59, 34, 42, 3
60, 48, 14, 3
61, 42, 25, 3
62, 16, 46, 5
63, 23, 6, 5
64, 38, 21, 3
65, 4, 44, 5
66, 45, 32, 3
67, 18, 30, 4
68, 38, 13, 5
69, 18, 38, 2
70, 37, 28, 5
71, 37, 24, 3
72, 25, 21, 1
73, 15, 16, 2
74, 1, 14, 5
75, 12, 2, 4
76, 15, 17, 4
77, 44, 1, 5
78, 36, 17, 1
79, 34, 40, 1
80, 31, 4, 2
81, 43, 34, 1
82, 18, 36, 3
83, 40, 44, 3
84, 12, 48, 1
85, 49, 25, 5
86, 38, 5, 4
87, 33, 43, 4
88, 32, 4, 5
89, 13, 27, 2
90, 1, 38, 5
91, 10, 31, 2
92, 1, 24, 1
93, 15, 49, 5
94, 33, 12, 5
95, 10, 18, 4
96, 30, 3, 2
97, 44, 17, 3
98, 5, 41, 3
99, 3, 48, 1
100, 43, 46, 2
101, 37, 6, 4
102, 40, 5, 5
103, 39, 5, 3
104, 10, 42, 4
105, 27, 26, 2
106, 18, 15, 2
107, 10, 21, 5
108, 37, 44, 2
109, 27, 31, 5
110, 33, 2, 3
111, 45, 38, 5
112, 20, 3, 4
113, 17, 20, 4
114, 33, 17, 3
115, 36, 6, 2
116, 31, 30, 1
117, 26, 14, 2
118, 24, 43, 5
119, 44, 1, 2
120, 25, 45, 5
121, 35, 8, 3
122, 2, 23, 5
123, 22, 4, 3
124, 7, 5, 4
125, 2, 49, 2
126, 12, 10, 3
127, 24, 17, 2
128, 18, 49, 1
129, 24, 42, 2
130, 21, 8, 5
131, 28, 8, 4
132, 15, 13, 5
133, 18, 3, 2
134, 21, 3, 2
135, 25, 10, 5
136, 42, 25, 5
137, 9, 29, 4
138, 46, 33, 5
139, 35, 48, 4
140, 9, 19, 4
141, 40, 10, 4
142, 8, 49, 1
143, 4, 38, 2
144, 43, 30, 2
145, 18, 9, 1
146, 17, 18, 3
147, 27, 47, 2
148, 31, 39, 5
149, 49, 18, 3
150, 4, 43, 1
151, 48, 49, 5
152, 12, 14, 1
153, 15, 4, 1
154, 37, 33, 4
155, 40, 6, 5
156, 0, 31, 4
157, 35, 41, 5
158, 40, 15, 2
159, 9, 22, 3
160, 35, 19, 3
161, 8, 10, 2
162, 14, 25, 5
163, 17, 4, 4
164, 6, 43, 3
165, 27, 45, 5
166, 7, 40, 2
167, 31, 49, 3
168, 49, 31, 3
169, 21, 29, 5
170, 2, 33, 4
171, 30, 34, 2
172, 8, 0, 5
173, 15, 10, 2
174, 39, 44, 4
175, 10, 30, 5
176, 25, 37, 3
177, 19, 21, 3
178, 14, 47, 4
179, 24, 2, 2
180, 4, 8, 2
181, 30, 10, 3
182, 13, 7, 3
183, 8, 23, 5
184, 23, 15, 5
185, 6, 45, 1
186, 37, 10, 4
187, 36, 1, 1
188, 30, 28, 5
189, 17, 19, 5
190, 7, 23, 3
191, 2, 43, 4
192, 39, 20, 3
193, 13, 27, 2
194, 25, 28, 3
195, 22, 45, 3
196, 38, 31, 2
197, 1, 14, 4
198, 2, 47, 3
199, 16, 7, 1
200, 36, 18, 3
201, 32, 31, 4
202, 39, 18, 1
203, 34, 21, 2
204, 3, 46, 3
205, 32, 39, 3
206, 3, 4, 1
207, 3, 1, 4
208, 30, 26, 5
209, 32, 16, 3
210, 19, 0, 2
211, 1, 49, 3
212, 11, 41, 3
213, 13, 48, 1
214, 21, 8, 1
215, 17, 5, 3
216, 10, 0, 4
217, 35, 5, 1
218, 40, 12, 3
219, 47, 1, 4
220, 36, 31, 5
221, 46, 2, 2
222, 28, 22, 2
223, 29, 19, 1
224, 3, 39, 5
225, 15, 34, 5
226, 24, 35, 3
227, 27, 9, 4
228, 9, 23, 4
229, 41, 1, 1
230, 28, 33, 1
231, 13, 7, 2
232, 14, 17, 2
233, 37, 31, 1
234, 2, 11, 5
235, 7, 13, 4
236, 40, 28, 3
237, 27, 48, 5
238, 47, 6, 2
239, 47, 38, 4
240, 11, 24, 4
241, 39, 0, 5
242, 18, 46, 3
243, 7, 22, 1
244, 0, 42, 3
245, 26, 12, 4
246, 5, 35, 3
247, 19, 44, 2
248, 42, 40, 4
249, 37, 42, 1
