0,2
0,4
0,6
0,25
1,2
1,3
1,5
1,8
1,12
1,13
1,14
1,27
1,35
1,48
1,49
2,0
2,1
2,3
2,8
2,9
2,10
2,14
2,19
2,22
2,25
2,42
2,45
2,49
3,1
3,2
3,4
3,5
3,7
3,12
3,33
4,0
4,3
4,6
4,15
4,24
5,1
5,3
5,7
5,16
5,18
5,21
5,28
5,32
5,35
5,40
6,0
6,4
6,10
6,15
6,33
6,34
6,45
6,46
7,3
7,5
7,9
7,11
7,17
7,26
7,46
8,1
8,2
8,41
9,2
9,7
9,19
9,26
9,27
9,29
9,38
10,2
10,6
10,11
10,23
10,24
10,32
10,37
10,40
10,42
11,10
11,7
11,13
11,39
12,1
12,3
12,16
12,20
12,36
13,1
13,11
13,31
14,1
14,2
14,17
14,18
14,21
14,23
14,29
14,37
14,39
14,48
15,4
15,6
15,30
16,12
16,5
16,20
16,22
16,41
17,14
17,7
18,5
18,14
19,9
19,2
19,34
20,16
20,12
20,30
20,44
21,5
21,14
22,16
22,2
22,31
22,47
23,10
23,14
24,10
24,4
24,44
25,0
25,2
26,9
26,7
27,1
27,9
27,28
28,27
28,5
29,9
29,14
29,38
29,47
30,20
30,15
30,36
30,43
31,13
31,22
32,10
32,5
33,3
33,6
34,19
34,6
35,1
35,5
36,12
36,30
37,10
37,14
37,43
38,9
38,29
39,11
39,14
40,10
40,5
41,16
41,8
42,10
42,2
43,37
43,30
44,24
44,20
45,2
45,6
46,6
46,7
47,29
47,22
48,1
48,14
49,1
49,2
